company,weight(%),fund,ticker,prev.weights,final.weights
TESLA INC,8.63,ARKK,TSLA,8.63,10.1
ROKU INC,6.76,ARKK,ROKU,6.76,7.8
TELADOC HEALTH INC,5.12,ARKK,TDOC,5.12,5.9
SQUARE INC - A,5.04,ARKK,SQ,5.04,5.8
ZILLOW GROUP INC - C,3.6,ARKK,Z,3.6,4.2
CRISPR THERAPEUTICS AG,3.46,ARKK,CRSP,3.46,4
INVITAE CORP,3.2,ARKK,NVTA,3.2,3.7
SPOTIFY TECHNOLOGY SA,3.09,ARKK,SPOT,3.09,3.6
SHOPIFY INC - CLASS A,2.53,ARKK,SHOP,2.53,2.9
PAYPAL HOLDINGS INC,2.27,ARKK,PYPL,2.27,2.6
TWILIO INC - A,2.24,ARKK,TWLO,2.24,2.6
PURE STORAGE INC - CLASS A,2.18,ARKK,PSTG,2.18,2.5
PROTO LABS INC,2.17,ARKK,PRLB,2.17,2.5
ZOOM VIDEO COMMUNICATIONS-A,2.13,ARKK,ZM,2.13,2.5
EXACT SCIENCES CORP,2.03,ARKK,EXAS,2.03,2.4
DOCUSIGN INC,1.92,ARKK,DOCU,1.92,2.2
TWIST BIOSCIENCE CORP,1.87,ARKK,TWST,1.87,2.2
IOVANCE BIOTHERAPEUTICS INC,1.84,ARKK,IOVA,1.84,2.1
UNITY SOFTWARE INC,1.61,ARKK,U,1.61,1.9
2U INC,1.58,ARKK,TWOU,1.58,1.8
INTELLIA THERAPEUTICS INC,1.56,ARKK,NTLA,1.56,1.8
LENDINGTREE INC,1.53,ARKK,TREE UW,1.53,1.8
PAGERDUTY INC,1.51,ARKK,PD,1.51,1.7
EDITAS MEDICINE INC,1.36,ARKK,EDIT,1.36,1.6
INTERCONTINENTAL EXCHANGE IN,1.3,ARKK,ICE,1.3,1.5
VERACYTE INC,1.3,ARKK,VCYT,1.3,1.5
PACIFIC BIOSCIENCES OF CALIF,1.29,ARKK,PACB,1.29,1.5
NINTENDO CO LTD-UNSPONS ADR,1.27,ARKK,NTDOY,1.27,1.5
STRATASYS LTD,1.22,ARKK,SSYS,1.22,1.4
IRIDIUM COMMUNICATIONS INC,1.14,ARKK,IRDM,1.14,1.3
10X GENOMICS INC-CLASS A,1.09,ARKK,TXG,1.09,1.3
REGENERON PHARMACEUTICALS,1,ARKK,REGN,1,1.2
NOVARTIS AG-SPONSORED ADR,0.99,ARKK,NVS,0.99,1.1
SYNOPSYS INC,0.97,ARKK,SNPS,0.97,1.1
SERES THERAPEUTICS INC,0.74,ARKK,MCRB,0.74,0.9
TERADYNE INC,0.54,ARKK,TER,0.54,0.6
NANOSTRING TECHNOLOGIES INC,0.53,ARKK,NSTG,0.53,0.6
CERUS CORP,0.51,ARKK,CERS,0.51,0.6
SNAP INC - A,0.5,ARKK,SNAP,0.5,0.6
PINTEREST INC- CLASS A,0.48,ARKK,PINS,0.48,0.6
COMPUGEN LTD,0.47,ARKK,CGEN,0.47,0.5
SPLUNK INC,0.38,ARKK,SPLK,0.38,0.5
FATE THERAPEUTICS INC,0.37,ARKK,FATE,0.37,0.5
SYROS PHARMACEUTICALS INC,0.21,ARKK,SYRS,0.21,0.5
BEAM THERAPEUTICS INC,0.13,ARKK,BEAM,0.13,0.5
BAIDU INC - SPON ADR,3.3,ARKK,BIDU,0,0
TENCENT HOLDINGS LTD-UNS ADR,2.27,ARKK,TCEHY,0,0
TAIWAN SEMICONDUCTOR-SP ADR,1.74,ARKK,TSM,0,0
MATERIALISE NV-ADR,1.59,ARKK,MTLS,0,0
KE HOLDINGS INC,1.41,ARKK,BEKE,0,0
SEA LTD-ADR,1.34,ARKK,SE,0,0
PACCAR INC,0.97,ARKK,PCAR,0,0
MORGAN STANLEY GOVT INSTL 8035,0.89,ARKK,,0,0
HUYA INC-ADR,0.83,ARKK,HUYA,0,0
ORGANOVO HOLDINGS INC,0.01,ARKK,ONVO,0,0